waypoint1	waypoint2	distance_m	duration_s
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Chimayo, NM	2024746	68522
Glacier National Park	Co Road 7515, Bloomfield, NM 87413	1782452	61955
Flagstaff, AZ	Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	935497	32201
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Memphis, TN	3853731	125831
Yellowstone National Park Visitor Center	Seattle, WA	1239311	43351
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Chimayo, NM	1760324	59908
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	828035	30833
Glacier National Park	Las Cruces, NM	2364651	79485
Flagstaff, AZ	Seattle, WA	2183105	72781
Seattle, WA	Seattle, WA	0	0
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Savannah, GA	4864824	158527
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	3846636	129515
Tahoe City, CA	Teasdale, UT	1051865	39214
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Natural Bridges Rd, Lake Powell, UT 84533	1605391	55066
Tillamook, OR	Austin, TX	3424178	117735
Tahoe City, CA	Terlingua, TX	2427693	83638
Glacier National Park	Atlanta, GA	3532001	116978
Oljato-Monument Valley, UT	Seattle, WA	1958211	66030
Tahoe City, CA	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1518324	52441
Bandon, OR	Teasdale, UT	1779093	62967
Tillamook, OR	Albuquerque, NM	2310759	79881
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Kansas City, MO	2393944	76480
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Richmond, VA	4293691	140789
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Memphis, TN	3172494	103262
Olympia, WA	Spokane, WA	513946	17398
