waypoint1	waypoint2	distance_m	duration_s
San Antonio, TX	Oljato-Monument Valley, UT	1654247	56957
Silverton, CO	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2722303	90868
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Spokane, WA	1817878	60573
Savannah, GA	Las Vegas, NV	3551386	113928
Terlingua, TX	Grand Canyon National Park	1430488	50411
Oljato-Monument Valley, UT	Tulsa, OK	1550860	51974
Oklahoma City, OK	Great Sand Dunes Visitor Center, Mosca, CO	927457	32659
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3229311	104846
Page, AZ	Silverton, CO	495685	18782
Oklahoma City, OK	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1294766	45169
Teasdale, UT	Terlingua, TX	1684901	60071
Spokane, WA	Las Vegas, NV	1683945	57040
Page, AZ	Great Sand Dunes Visitor Center, Mosca, CO	696382	26737
Oljato-Monument Valley, UT	Chambers, AZ	264643	11146
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Bryce Canyon National Park Visitor Center, Bryce, UT	641820	25124
Atlanta, GA	Asheville, NC	334048	11929
Lafayette, LA	Atlanta, GA	935142	29875
San Antonio, TX	Lafayette, LA	663603	21663
Flagstaff, AZ	Asheville, NC	2949791	94780
Chattanooga, TN	Yellowstone National Park Visitor Center	2878903	98549
Carlsbad, NM	Albuquerque, NM	450036	15314
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Albuquerque, NM	1613439	53960
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Richmond, VA	3714838	120015
Black Canyon of the Gunnison National Park, Montrose, CO	Co Road 7515, Bloomfield, NM 87413	312711	15381
Chimayo, NM	Little Rock, AR	1449002	47064
Flagstaff, AZ	Atlanta, GA	2750822	88115
Flagstaff, AZ	Silverton, CO	577318	22017
Savannah, GA	Las Cruces, NM	2750400	87143
Teasdale, UT	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2990875	99978
Chattanooga, TN	Asheville, NC	364450	12629
Chimayo, NM	Las Cruces, NM	500899	16202
Chattanooga, TN	Richmond, VA	879508	28829
Tulsa, OK	Indianola, MS	713282	24702
Chambers, AZ	Little Rock, AR	1711434	54129
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Richmond, VA	2310317	76667
Oklahoma City, OK	Albuquerque, NM	871102	27843
San Antonio, TX	Terlingua, TX	740251	24757
Memphis, TN	Yellowstone National Park Visitor Center	2501095	88881
Carlsbad, NM	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1268938	45254
Co Road 7515, Bloomfield, NM 87413	Natural Bridges Rd, Lake Powell, UT 84533	327927	14140
Chinle, AZ	Great Sand Dunes Visitor Center, Mosca, CO	576024	22936
Teasdale, UT	Asheville, NC	3051980	99834
Kansas City, MO	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1233359	40894
Lafayette, LA	Teasdale, UT	2435198	82748
Teasdale, UT	Great Sand Dunes Visitor Center, Mosca, CO	754386	29547
Oljato-Monument Valley, UT	Richmond, VA	3333684	113136
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Indianola, MS	2504362	85500
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Asheville, NC	2889264	93359
Flagstaff, AZ	Kansas City, MO	1789525	59930
Chinle, AZ	Fajada Butte View Point, Nageezi, NM 87037	270007	15398
Little Rock, AR	Las Cruces, NM	1607993	51229
Oklahoma City, OK	Dallas, TX	332738	11342
Albuquerque, NM	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	823085	30433
Spokane, WA	Las Cruces, NM	2477527	81660
Nashville, TN	Natural Bridges Rd, Lake Powell, UT 84533	2508278	83280
New Orleans, LA	Yellowstone National Park Visitor Center	2943605	103987
Spokane, WA	Black Canyon of the Gunnison National Park, Montrose, CO	1728845	56918
Flagstaff, AZ	Teasdale, UT	608834	24196
Richmond, VA	Chimayo, NM	2981158	96788
Chattanooga, TN	St. Louis, MO	705431	22918
Atlanta, GA	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	260626	9863
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Dallas, TX	1466074	51281
Black Canyon of the Gunnison National Park, Montrose, CO	Teasdale, UT	453082	17259
Indianola, MS	Natural Bridges Rd, Lake Powell, UT 84533	2234328	75663
Page, AZ	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	394790	15782
Oklahoma City, OK	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1435318	47580
Lafayette, LA	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	2488021	83870
Tupelo, MS	New Orleans, LA	549081	18250
Oklahoma City, OK	Tulsa, OK	170561	5740
C R 268A, Montezuma Creek, UT 84534	Tupelo, MS	2242969	75038
C R 268A, Montezuma Creek, UT 84534	Terlingua, TX	1371609	48210
Dallas, TX	Asheville, NC	1539771	50586
St. Louis, MO	Las Cruces, NM	1881300	62149
Silverton, CO	Asheville, NC	2850080	94655
Lafayette, LA	Silverton, CO	2088521	69574
Richmond, VA	Tupelo, MS	1308424	42515
Linville, NC	Silverton, CO	2900058	96858
Dallas, TX	Great Sand Dunes Visitor Center, Mosca, CO	1142773	39151
Page, AZ	Asheville, NC	3056421	100645
Linville, NC	Great Sand Dunes Visitor Center, Mosca, CO	2528001	84160
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Indianola, MS	1645358	54704
Tulsa, OK	Great Sand Dunes Visitor Center, Mosca, CO	1043946	37284
Terlingua, TX	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1510824	52383
Kansas City, MO	St. Louis, MO	398980	13246
Flagstaff, AZ	New Orleans, LA	2374036	76687
Richmond, VA	Black Canyon of the Gunnison National Park, Montrose, CO	3028466	101478
Silverton, CO	Black Canyon of the Gunnison National Park, Montrose, CO	116513	6195
Flagstaff, AZ	San Antonio, TX	1662371	54237
Black Canyon of the Gunnison National Park, Montrose, CO	Atlanta, GA	2598145	87093
Chimayo, NM	Teasdale, UT	768775	31340
Terlingua, TX	Yellowstone National Park Visitor Center	2272105	82714
Chinle, AZ	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2672361	87779
St. Louis, MO	Memphis, TN	456132	14947
San Antonio, TX	Indianola, MS	1041334	37247
San Antonio, TX	Kansas City, MO	1313311	42202
Chattanooga, TN	Lafayette, LA	967465	31578
Chinle, AZ	Chambers, AZ	122619	4774
Little Rock, AR	New Orleans, LA	687568	24405
Kansas City, MO	Tupelo, MS	895839	32064
Flagstaff, AZ	Bryce Canyon National Park Visitor Center, Bryce, UT	457424	17094
Tulsa, OK	Terlingua, TX	1235810	41724
Charleston, SC	Asheville, NC	429689	14431
Richmond, VA	Natural Bridges Rd, Lake Powell, UT 84533	3442022	112565
Chinle, AZ	Richmond, VA	3314916	107664
Little Rock, AR	Great Sand Dunes Visitor Center, Mosca, CO	1472506	50022
Page, AZ	Fajada Butte View Point, Nageezi, NM 87037	478755	19215
Teasdale, UT	Atlanta, GA	2978272	97058
Oklahoma City, OK	Carlsbad, NM	847320	28517
Black Canyon of the Gunnison National Park, Montrose, CO	Memphis, TN	1929563	67594
St. Louis, MO	Teasdale, UT	2090424	68406
Chimayo, NM	Savannah, GA	2665166	86457
Black Canyon of the Gunnison National Park, Montrose, CO	Natural Bridges Rd, Lake Powell, UT 84533	383280	16200
Lafayette, LA	Bryce Canyon National Park Visitor Center, Bryce, UT	2544725	84859
Nashville, TN	Memphis, TN	341227	11266
Chimayo, NM	Co Road 7515, Bloomfield, NM 87413	236938	10743
Albuquerque, NM	Tulsa, OK	1039727	33129
New Orleans, LA	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	2446925	82047
Chimayo, NM	Atlanta, GA	2267306	74033
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Natural Bridges Rd, Lake Powell, UT 84533	492269	20212
Chattanooga, TN	Nashville, TN	214148	7290
Bryce Canyon National Park Visitor Center, Bryce, UT	Teasdale, UT	170823	8462
Lafayette, LA	Chambers, AZ	1967147	62683
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Teasdale, UT	1688944	57159
Natural Bridges Rd, Lake Powell, UT 84533	Grand Canyon National Park	353068	14167
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Chinle, AZ	1848606	62819
Chinle, AZ	Grand Canyon National Park	316055	12521
Kansas City, MO	Natural Bridges Rd, Lake Powell, UT 84533	1726483	56981
Page, AZ	Oklahoma City, OK	1496988	49833
Oljato-Monument Valley, UT	Bryce Canyon National Park Visitor Center, Bryce, UT	442835	16284
Little Rock, AR	Natural Bridges Rd, Lake Powell, UT 84533	1962425	65483
Chinle, AZ	Teasdale, UT	471531	18643
Spokane, WA	Natural Bridges Rd, Lake Powell, UT 84533	1689741	56132
San Antonio, TX	Atlanta, GA	1592066	51000
San Antonio, TX	Co Road 7515, Bloomfield, NM 87413	1380157	46846
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Memphis, TN	2044335	69131
San Antonio, TX	Tupelo, MS	1337695	44125
San Antonio, TX	Memphis, TN	1167423	38189
Flagstaff, AZ	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2822014	90993
Flagstaff, AZ	Savannah, GA	3148682	100539
Carlsbad, NM	Las Vegas, NV	1370350	44492
Tupelo, MS	Teasdale, UT	2554827	86828
Chimayo, NM	Charleston, SC	2761882	90463
Fajada Butte View Point, Nageezi, NM 87037	Chimayo, NM	246647	12525
Dallas, TX	Black Canyon of the Gunnison National Park, Montrose, CO	1395310	50124
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Atlanta, GA	1982222	63840
Memphis, TN	Atlanta, GA	616512	20548
Oljato-Monument Valley, UT	Natural Bridges Rd, Lake Powell, UT 84533	108808	5418
Linville, NC	Bryce Canyon National Park Visitor Center, Bryce, UT	3287100	107367
Fajada Butte View Point, Nageezi, NM 87037	Savannah, GA	2874780	95232
Kansas City, MO	Tulsa, OK	435571	14282
Chambers, AZ	Charleston, SC	3024314	97527
Natural Bridges Rd, Lake Powell, UT 84533	Las Vegas, NV	743940	27761
Lafayette, LA	Terlingua, TX	1400651	45904
Spokane, WA	Asheville, NC	3867863	126616
Flagstaff, AZ	Yellowstone National Park Visitor Center	1397029	48228
Tupelo, MS	Natural Bridges Rd, Lake Powell, UT 84533	2337768	78116
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Savannah, GA	3056498	101936
Las Cruces, NM	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	953108	32693
Indianola, MS	St. Louis, MO	669937	23345
San Antonio, TX	Natural Bridges Rd, Lake Powell, UT 84533	1692278	58574
Page, AZ	Las Vegas, NV	439375	15435
St. Louis, MO	Terlingua, TX	1867042	62018
Nashville, TN	Little Rock, AR	561085	18515
Yellowstone National Park Visitor Center	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3008676	103698
Savannah, GA	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	566233	19388
San Antonio, TX	Silverton, CO	1562660	54111
Oklahoma City, OK	Terlingua, TX	1067993	36455
Carlsbad, NM	Black Canyon of the Gunnison National Park, Montrose, CO	960656	36301
St. Louis, MO	Little Rock, AR	556321	19928
Carlsbad, NM	Grand Canyon National Park	1079158	35613
Chambers, AZ	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	443795	16632
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Memphis, TN	1419434	48240
San Antonio, TX	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1965059	68087
Fajada Butte View Point, Nageezi, NM 87037	C R 268A, Montezuma Creek, UT 84534	281691	13593
Linville, NC	New Orleans, LA	1178871	39465
C R 268A, Montezuma Creek, UT 84534	Natural Bridges Rd, Lake Powell, UT 84533	129709	6463
Lafayette, LA	New Orleans, LA	218139	8100
Natural Bridges Rd, Lake Powell, UT 84533	Memphis, TN	2167496	72181
Chattanooga, TN	Natural Bridges Rd, Lake Powell, UT 84533	2709624	89590
Co Road 7515, Bloomfield, NM 87413	New Orleans, LA	2087994	69359
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Spokane, WA	1765576	60142
Indianola, MS	Terlingua, TX	1606573	55017
Lafayette, LA	Richmond, VA	1787717	57701
Richmond, VA	Asheville, NC	599263	19721
Yellowstone National Park Visitor Center	Asheville, NC	3136173	107383
Chimayo, NM	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2405170	80843
Natural Bridges Rd, Lake Powell, UT 84533	New Orleans, LA	2403943	81024
Memphis, TN	Grand Canyon National Park	2248030	72245
Oljato-Monument Valley, UT	New Orleans, LA	2365912	79407
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Savannah, GA	3449974	114691
Page, AZ	Tulsa, OK	1665613	55119
Little Rock, AR	Asheville, NC	1033025	34383
Oklahoma City, OK	Las Vegas, NV	1789653	57161
Carlsbad, NM	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2254107	74121
Fajada Butte View Point, Nageezi, NM 87037	Co Road 7515, Bloomfield, NM 87413	63553	5279
Flagstaff, AZ	Lafayette, LA	2188232	69700
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Charleston, SC	497315	17467
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Silverton, CO	1484671	53623
Fajada Butte View Point, Nageezi, NM 87037	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2613478	89462
Albuquerque, NM	Spokane, WA	2120232	71128
Chinle, AZ	Yellowstone National Park Visitor Center	1257361	44446
Terlingua, TX	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2338726	78158
Indianola, MS	Great Sand Dunes Visitor Center, Mosca, CO	1743577	60235
Bryce Canyon National Park Visitor Center, Bryce, UT	Asheville, NC	3237121	105164
Richmond, VA	St. Louis, MO	1322661	43093
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Teasdale, UT	289519	13592
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Dallas, TX	1315701	45417
Chattanooga, TN	Tupelo, MS	397313	14411
Chinle, AZ	Tulsa, OK	1409751	45816
Linville, NC	Terlingua, TX	2516482	84147
Oljato-Monument Valley, UT	Indianola, MS	2196298	74046
Tulsa, OK	Natural Bridges Rd, Lake Powell, UT 84533	1588890	53591
New Orleans, LA	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	1014901	33527
Oklahoma City, OK	Memphis, TN	751057	24445
Richmond, VA	Teasdale, UT	3409847	111070
Oljato-Monument Valley, UT	Chimayo, NM	532499	20693
Albuquerque, NM	Oljato-Monument Valley, UT	515519	19395
Savannah, GA	Yellowstone National Park Visitor Center	3462336	117117
Little Rock, AR	Atlanta, GA	835498	27790
Fajada Butte View Point, Nageezi, NM 87037	St. Louis, MO	1915845	64049
Richmond, VA	Grand Canyon National Park	3575180	115347
Albuquerque, NM	Dallas, TX	1041478	33900
Chimayo, NM	Las Vegas, NV	1061083	34363
Page, AZ	Kansas City, MO	1769063	61963
Oklahoma City, OK	Chattanooga, TN	1293020	41839
Lafayette, LA	Oljato-Monument Valley, UT	2180109	72420
Linville, NC	Fajada Butte View Point, Nageezi, NM 87037	2724133	91558
Savannah, GA	Tupelo, MS	850508	27316
Dallas, TX	Chambers, AZ	1339649	43007
Carlsbad, NM	Spokane, WA	2566085	85949
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	St. Louis, MO	1837601	65622
Chambers, AZ	Las Vegas, NV	621819	20066
Richmond, VA	New Orleans, LA	1607838	51421
Flagstaff, AZ	Great Sand Dunes Visitor Center, Mosca, CO	778015	29972
New Orleans, LA	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1019382	33814
Bryce Canyon National Park Visitor Center, Bryce, UT	Chambers, AZ	656873	23257
Co Road 7515, Bloomfield, NM 87413	Asheville, NC	2665000	87548
Savannah, GA	Atlanta, GA	399675	12793
Chinle, AZ	Terlingua, TX	1249791	43274
C R 268A, Montezuma Creek, UT 84534	Memphis, TN	2071045	68959
Tulsa, OK	Asheville, NC	1458652	48156
Indianola, MS	C R 268A, Montezuma Creek, UT 84534	2137597	72573
Fajada Butte View Point, Nageezi, NM 87037	Teasdale, UT	595389	25834
Fajada Butte View Point, Nageezi, NM 87037	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	421313	18146
Kansas City, MO	Yellowstone National Park Visitor Center	1776866	63056
Bryce Canyon National Park Visitor Center, Bryce, UT	Chimayo, NM	899171	34062
Fajada Butte View Point, Nageezi, NM 87037	Grand Canyon National Park	527290	21183
Albuquerque, NM	Bryce Canyon National Park Visitor Center, Bryce, UT	880134	31834
Albuquerque, NM	Memphis, TN	1618333	51719
Carlsbad, NM	Chimayo, NM	485789	17333
Oklahoma City, OK	Silverton, CO	1290648	43842
St. Louis, MO	Yellowstone National Park Visitor Center	2174297	76050
Flagstaff, AZ	Tulsa, OK	1558983	49253
Chambers, AZ	Las Cruces, NM	620634	19666
Black Canyon of the Gunnison National Park, Montrose, CO	Great Sand Dunes Visitor Center, Mosca, CO	318834	13755
Oljato-Monument Valley, UT	Las Cruces, NM	833596	29403
Lafayette, LA	Grand Canyon National Park	2298241	74228
Great Sand Dunes Visitor Center, Mosca, CO	Grand Canyon National Park	744919	28796
Richmond, VA	C R 268A, Montezuma Creek, UT 84534	3210046	110113
Natural Bridges Rd, Lake Powell, UT 84533	Charleston, SC	3275306	108882
Carlsbad, NM	Savannah, GA	2391562	76913
Oklahoma City, OK	Grand Canyon National Park	1498461	48282
Fajada Butte View Point, Nageezi, NM 87037	Las Cruces, NM	603582	21769
Fajada Butte View Point, Nageezi, NM 87037	Silverton, CO	248713	12660
Lafayette, LA	Natural Bridges Rd, Lake Powell, UT 84533	2218139	74037
Natural Bridges Rd, Lake Powell, UT 84533	Great Sand Dunes Visitor Center, Mosca, CO	547597	22756
Fajada Butte View Point, Nageezi, NM 87037	Atlanta, GA	2477182	82737
Bryce Canyon National Park Visitor Center, Bryce, UT	Las Vegas, NV	420895	14238
Chattanooga, TN	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	236953	8944
Nashville, TN	Spokane, WA	3400311	110946
Chimayo, NM	New Orleans, LA	1890519	62605
Oljato-Monument Valley, UT	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2880563	97645
Las Cruces, NM	Charleston, SC	2847117	91149
Nashville, TN	Teasdale, UT	2584886	84176
Las Cruces, NM	Terlingua, TX	561809	20469
Flagstaff, AZ	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	2052495	69640
Flagstaff, AZ	Natural Bridges Rd, Lake Powell, UT 84533	388457	15780
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Las Vegas, NV	3290083	108159
St. Louis, MO	Chimayo, NM	1706699	55466
Flagstaff, AZ	Chinle, AZ	293230	10920
San Antonio, TX	New Orleans, LA	875623	28955
Oljato-Monument Valley, UT	Great Sand Dunes Visitor Center, Mosca, CO	545463	22327
Chattanooga, TN	Terlingua, TX	2188890	71480
Fajada Butte View Point, Nageezi, NM 87037	Indianola, MS	1929168	66041
Atlanta, GA	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	399285	13988
San Antonio, TX	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1856919	60964
C R 268A, Montezuma Creek, UT 84534	Spokane, WA	1726584	58017
Albuquerque, NM	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	596531	22035
Tupelo, MS	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	629651	22988
Richmond, VA	Chambers, AZ	3243589	103853
Great Sand Dunes Visitor Center, Mosca, CO	Las Vegas, NV	1135790	42389
Chambers, AZ	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2600929	83976
Dallas, TX	Richmond, VA	2054654	66676
Linville, NC	Tupelo, MS	806571	28901
Teasdale, UT	Charleston, SC	3465821	113192
Chinle, AZ	Silverton, CO	375359	15085
Page, AZ	Linville, NC	3106399	102849
Linville, NC	Grand Canyon National Park	3109545	101376
Silverton, CO	Co Road 7515, Bloomfield, NM 87413	198309	9678
Co Road 7515, Bloomfield, NM 87413	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2603769	87681
Page, AZ	Las Cruces, NM	948349	32548
Tupelo, MS	Las Cruces, NM	1991672	64164
Nashville, TN	Silverton, CO	2378661	78818
Linville, NC	Asheville, NC	106979	4923
Bryce Canyon National Park Visitor Center, Bryce, UT	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	3176017	105308
Nashville, TN	Atlanta, GA	401538	13311
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Terlingua, TX	2054615	70722
Chattanooga, TN	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	239264	10260
Flagstaff, AZ	Tupelo, MS	2307861	73779
Flagstaff, AZ	Chimayo, NM	661850	21410
Oklahoma City, OK	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1463248	49328
Chattanooga, TN	San Antonio, TX	1624949	52433
Nashville, TN	Co Road 7515, Bloomfield, NM 87413	2193060	71680
Las Cruces, NM	New Orleans, LA	1832967	58320
Albuquerque, NM	Silverton, CO	423931	16549
Linville, NC	Chinle, AZ	2849281	93692
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Asheville, NC	2856427	96034
Memphis, TN	Asheville, NC	812647	27103
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Asheville, NC	2054512	66741
Page, AZ	Carlsbad, NM	1075922	37304
Chattanooga, TN	Great Sand Dunes Visitor Center, Mosca, CO	2221307	73098
Nashville, TN	Las Vegas, NV	2879374	92159
New Orleans, LA	Charleston, SC	1240562	40016
Kansas City, MO	New Orleans, LA	1358514	46275
Savannah, GA	Charleston, SC	171048	6857
Oklahoma City, OK	Indianola, MS	817725	27913
Grand Canyon National Park	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2932625	95462
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Oljato-Monument Valley, UT	1766535	59700
Spokane, WA	Silverton, CO	1804421	60912
Oljato-Monument Valley, UT	C R 268A, Montezuma Creek, UT 84534	140201	6245
Co Road 7515, Bloomfield, NM 87413	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	370910	15163
Flagstaff, AZ	Spokane, WA	1992260	65166
Chambers, AZ	Chimayo, NM	440765	14393
Bryce Canyon National Park Visitor Center, Bryce, UT	Black Canyon of the Gunnison National Park, Montrose, CO	638223	22589
Chinle, AZ	St. Louis, MO	2040994	66183
Albuquerque, NM	Indianola, MS	1685165	55202
Chattanooga, TN	Black Canyon of the Gunnison National Park, Montrose, CO	2413165	81160
St. Louis, MO	Charleston, SC	1378636	45214
Albuquerque, NM	Asheville, NC	2430534	78656
Oklahoma City, OK	Little Rock, AR	545822	17733
Lafayette, LA	Albuquerque, NM	1668975	53575
Nashville, TN	Bryce Canyon National Park Visitor Center, Bryce, UT	2770027	89506
Tulsa, OK	Yellowstone National Park Visitor Center	1981230	68339
Chattanooga, TN	Chimayo, NM	2196200	71171
Co Road 7515, Bloomfield, NM 87413	Yellowstone National Park Visitor Center	1301155	47211
Lafayette, LA	Savannah, GA	1212241	40675
Carlsbad, NM	Charleston, SC	2488278	80918
Savannah, GA	Asheville, NC	498608	16352
Dallas, TX	Oljato-Monument Valley, UT	1552611	52744
Oljato-Monument Valley, UT	Atlanta, GA	2742699	90835
Page, AZ	New Orleans, LA	2480665	82552
Carlsbad, NM	Chinle, AZ	818894	27929
Nashville, TN	Black Canyon of the Gunnison National Park, Montrose, CO	2202884	74323
Spokane, WA	Grand Canyon National Park	1768975	58361
Kansas City, MO	Teasdale, UT	1694307	55486
Carlsbad, NM	Terlingua, TX	435425	16826
Chambers, AZ	Co Road 7515, Bloomfield, NM 87413	299794	11408
Oklahoma City, OK	New Orleans, LA	1142157	37871
Little Rock, AR	Teasdale, UT	2179484	74194
Chattanooga, TN	Bryce Canyon National Park Visitor Center, Bryce, UT	2977758	96225
Atlanta, GA	Las Vegas, NV	3153787	101434
Spokane, WA	Teasdale, UT	1496659	48306
Carlsbad, NM	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	1678971	60867
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	New Orleans, LA	2672896	90600
Little Rock, AR	Charleston, SC	1329539	44338
San Antonio, TX	Linville, NC	2016235	66599
Terlingua, TX	Charleston, SC	2680018	87928
Richmond, VA	Silverton, CO	3138586	106222
Nashville, TN	Oljato-Monument Valley, UT	2470248	81664
Linville, NC	Las Cruces, NM	2683580	87368
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Albuquerque, NM	429610	17678
Indianola, MS	Asheville, NC	977167	34108
Nashville, TN	Dallas, TX	1068351	34749
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Co Road 7515, Bloomfield, NM 87413	616106	24246
Oklahoma City, OK	St. Louis, MO	801804	26108
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2761487	89572
Memphis, TN	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	2210479	73203
Bryce Canyon National Park Visitor Center, Bryce, UT	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	437336	15019
Tupelo, MS	Black Canyon of the Gunnison National Park, Montrose, CO	2101487	73673
Oljato-Monument Valley, UT	Teasdale, UT	325867	14129
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Linville, NC	2103936	68970
Kansas City, MO	Silverton, CO	1423047	50639
Savannah, GA	C R 268A, Montezuma Creek, UT 84534	3083209	101764
Bryce Canyon National Park Visitor Center, Bryce, UT	Atlanta, GA	3163413	102388
Kansas City, MO	Atlanta, GA	1288566	41678
Bryce Canyon National Park Visitor Center, Bryce, UT	Silverton, CO	713806	26449
Chattanooga, TN	Atlanta, GA	189596	6300
Carlsbad, NM	Linville, NC	2324742	77137
Teasdale, UT	Las Vegas, NV	554231	18564
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Savannah, GA	2380675	76476
Tulsa, OK	Little Rock, AR	441379	14522
Page, AZ	Terlingua, TX	1506065	52238
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Las Cruces, NM	1141842	40427
Flagstaff, AZ	Albuquerque, NM	523642	16675
San Antonio, TX	Teasdale, UT	1909337	67285
Oljato-Monument Valley, UT	Grand Canyon National Park	244260	8750
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Chimayo, NM	839876	32692
Page, AZ	Co Road 7515, Bloomfield, NM 87413	428352	16232
Chambers, AZ	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2667602	87907
Chinle, AZ	Las Cruces, NM	691798	23102
Dallas, TX	St. Louis, MO	1015517	35034
